Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Pur93,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83
800,8.02005,10.892,56.3224,21.46499,32.27618,22.84648,15.11199,22.86256,185.01627,14.13037,7.09029,39.73076,56.47704,,,,,,,,,,,,,
810,8.01516,10.87173,55.80596,21.46499,32.25524,22.84354,15.10206,22.86256,185.01627,14.13037,7.08211,39.73076,56.47704,,,,,,,,,,,,,
820,7.99746,10.87173,55.80596,21.33534,32.24328,22.84281,15.09597,22.84009,185.01627,14.13037,7.07703,39.69695,56.47704,,,,,,,,,,,,,
830,7.99746,10.85259,55.65573,21.33534,32.23898,22.84097,15.09377,22.78026,185.01627,14.13037,7.07124,39.52567,56.36758,,,,,,,,,,,,,
840,7.98096,10.84586,55.65218,21.33534,32.23898,22.73789,15.08365,22.77478,185.01627,14.129,7.07007,39.47476,56.36758,,,,,,,,,,,,,
850,7.95284,10.84586,55.57929,21.33534,32.23299,22.72542,15.06663,22.75074,185.01627,14.0632,7.06969,39.47476,56.36758,,,,,,,,,,,,,
860,7.94866,10.76763,55.57929,21.33534,32.22421,22.72322,15.05511,22.75074,185.00972,14.06252,7.03889,38.04676,56.36758,,,,,,,,,,,,,
870,7.94638,10.7209,55.57929,21.33534,32.22309,22.71001,15.04466,22.75074,185.00972,14.06114,7.02347,38.0464,56.36758,,,,,,,,,,,,,
880,7.94301,10.70335,55.57929,21.33534,32.22309,22.71001,15.03906,22.75031,185.00972,14.05403,7.00898,38.04458,56.36758,,,,,,,,,,,,,
890,7.94301,10.703,55.57929,21.33534,32.21972,22.67296,15.03214,22.65016,185.00972,14.05403,7.00494,37.88022,56.36758,,,,,,,,,,,,,
900,7.94252,10.70241,55.57929,21.33534,32.16158,22.64912,15.03187,22.46824,185.00972,14.05335,7.00438,37.88022,56.36758,,,,,,,,,,,,,
910,7.94127,10.70241,55.57929,21.33534,32.16102,22.64398,15.02238,22.41677,183.78222,14.05335,7.00132,36.94676,56.36758,,,,,,,,,,,,,
