Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83,test,test1
850,8.04568,9.70914,56.44329,14.94498,24.78955,19.50495,21.64633,175.6382,14.33945,5.96257,40.07113,48.04558,,,,,,,,,,,,,,14.17714186,14.19135552
860,7.98921,9.72066,55.29396,17.31657,24.93107,19.67406,21.0086,172.30104,14.30827,5.96756,36.82131,47.90424,,,,,,,,,,,,,,14.29245594,14.28030555
870,7.9612,9.74489,54.55262,16.61377,25.91237,19.40957,20.00216,170.34851,14.32593,5.95684,36.31549,49.2273,,,,,,,,,,,,,,14.19800385,14.29520697
880,7.95371,9.68297,54.43084,17.08915,25.06063,20.2511,19.85446,171.91807,14.33074,5.98054,36.22167,49.57162,,,,,,,,,,,,,,14.27824227,14.24866868
890,8.00045,9.68876,55.09129,18.42425,24.98024,20.33767,19.58859,173.39761,14.30392,5.98289,36.31513,49.52379,,,,,,,,,,,,,,14.22482641,14.2287237
900,8.02841,9.6197,55.29929,18.05302,24.73944,20.16819,20.14332,173.6071,14.25646,5.99102,36.52204,50.70233,,,,,,,,,,,,,,14.34335002,14.22528492
910,8.13162,9.62962,55.27796,15.8922,27.55605,20.21772,20.29685,172.88206,14.35688,6.01176,34.22167,50.273,,,,,,,,,,,,,,14.26769665,14.16201119
920,8.11799,9.85442,55.38018,17.89149,27.52146,19.94956,20.39273,173.96717,14.3273,6.01246,35.33331,50.26875,,,,,,,,,,,,,,14.2156563,14.26104833
930,8.14888,9.83764,55.24951,18.1979,27.8963,19.59886,20.27073,174.57928,14.4002,6.03776,36.50349,49.66088,,,,,,,,,,,,,,14.13197909,14.26150683
940,8.12114,9.84905,55.36418,17.98642,28.09016,19.78521,19.97194,174.9508,14.39493,6.03052,37.35876,49.26875,,,,,,,,,,,,,,14.09782045,14.18722898
950,8.10887,9.8419,56.59084,16.79018,28.2702,19.72285,20.64276,179.32232,14.5318,6.03786,37.59913,49.24112,,,,,,,,,,,,,,14.18379019,14.2113005
960,8.09535,9.82323,56.29129,19.74236,27.76038,19.5442,20.79672,179.08664,14.50245,6.04679,38.10495,48.99988,,,,,,,,,,,,,,14.19754535,14.30116754
970,8.05409,9.758,56.35173,19.38848,27.7572,19.64068,20.78227,177.59564,14.51116,6.03692,36.64167,48.27512,,,,,,,,,,,,,,14.17439083,14.31423494
980,8.32973,9.81921,56.04418,18.95773,27.68336,19.7621,21.01034,182.66929,14.46485,6.03983,34.79549,48.968,,,,,,,,,,,,,,13.98319413,14.41831564
990,8.36931,9.65414,55.95351,18.95596,27.95201,20.59996,21.12904,180.19466,14.45385,6.02568,35.57404,48.82666,,,,,,,,,,,,,,14.12556002,14.26058982
1000,8.37273,9.61296,54.44773,19.38493,30.46556,20.45249,20.57527,176.07682,14.45981,6.03428,35.12676,48.83729,,,,,,,,,,,,,,14.16499147,14.29818725
1010,8.38044,9.596,55.21573,20.05585,31.09278,20.29769,20.94233,178.29122,14.46417,5.98876,36.85767,49.00307,,,,,,,,,,,,,,14.05632572,14.20235965
1020,8.34797,9.6142,54.60596,19.91699,31.1126,20.00018,21.02306,175.51381,14.43964,5.95632,38.22058,49.36651,,,,,,,,,,,,,,14.08154351,14.12349674
1030,8.35047,9.62235,55.29662,19.12387,31.15092,20.3274,21.19505,177.43034,14.55403,5.95622,38.82131,48.9595,,,,,,,,,,,,,,14.04348757,14.11776543
1040,8.31534,9.54455,56.48329,19.44551,32.03277,20.39086,21.28431,175.95571,14.44468,5.9258,37.1584,49.09659,,,,,,,,,,,,,,13.91969115,14.17760037
1050,8.33244,9.54218,57.54018,18.67186,28.71271,19.50862,21.55053,176.46307,14.45843,5.91926,37.56058,49.60562,,,,,,,,,,,,,,13.85435415,14.14000293
1060,8.35655,9.57539,57.34018,18.02185,26.86844,19.48881,21.87022,176.07519,14.48893,5.94372,36.1104,49.14122,,,,,,,,,,,,,,13.74798093,13.92083741
1070,8.24547,9.56711,57.35796,17.60421,26.85479,20.43782,21.72096,177.50235,14.43849,5.95764,35.29404,49.16885,,,,,,,,,,,,,,13.74500064,13.99740779
1080,8.21583,9.5143,57.1224,16.42921,26.84937,20.59923,21.9506,177.05555,14.37705,5.90661,34.83331,49.19223,,,,,,,,,,,,,,13.78466135,14.04211206
1090,8.21604,9.4629,56.29573,16.968,27.5897,20.70011,21.86378,177.80514,14.38164,5.9243,35.59622,49.35801,,,,,,,,,,,,,,13.76861366,13.99672004
1100,8.20665,9.48434,55.39796,17.62156,26.91219,19.9712,22.0113,177.57928,14.38943,5.94842,36.98131,48.95738,,,,,,,,,,,,,,13.76930142,14.04211206
1110,8.19335,9.48239,54.96062,18.25883,26.14139,19.90664,22.3545,177.39433,14.33899,5.93925,37.07549,48.69064,,,,,,,,,,,,,,13.77663751,13.97471178
1120,8.19313,9.37687,55.1384,18.19507,27.15279,19.78045,22.15012,176.53672,14.29177,5.92834,36.28276,49.29319,,,,,,,,,,,,,,13.7974995,14.0544917
1130,8.18358,9.34515,55.87262,17.53726,27.08119,19.03503,21.70528,175.02609,14.24775,5.93793,36.2424,49.68851,,,,,,,,,,,,,,13.85481265,14.01230922
1140,8.17961,9.33546,55.88062,17.53088,26.23935,19.34464,21.71965,176.06864,14.31676,5.88748,37.04313,50.2188,,,,,,,,,,,,,,13.81583971,13.93413407
1150,8.22419,9.32116,55.42729,19.50325,25.60746,19.58822,21.34937,176.65293,14.29796,5.86763,38.41585,49.06471,,,,,,,,,,,,,,13.81813223,13.95728858
1160,8.2857,9.26167,55.59618,17.10226,27.01314,19.60987,21.87031,176.4287,14.30667,5.87911,39.60422,49.45153,,,,,,,,,,,,,,13.77778377,13.9325293
1170,8.24965,9.15361,55.76062,14.05125,27.24683,19.51229,21.72888,176.24049,14.33372,5.87008,40.10858,49.41115,,,,,,,,,,,,,,13.83486768,13.97058524
1180,8.26013,9.15042,56.30107,14.09021,27.29431,19.36995,20.74552,177.13574,14.39998,5.8698,38.93876,49.11891,,,,,,,,,,,,,,13.8192785,13.94101165
1190,8.3173,9.23945,56.81129,15.11359,27.30871,19.66929,20.79054,175.84442,14.36559,5.90403,37.03367,49.11253,,,,,,,,,,,,,,13.83142889,14.18722898
1200,8.23933,9.30019,56.13307,15.17452,27.32123,19.63554,20.90079,178.70039,14.41671,5.8935,36.86967,49.09021,,,,,,,,,,,,,,13.84724732,14.27457423
1210,8.22782,9.28063,56.2104,17.71295,27.22402,19.63885,20.9277,177.10956,14.40915,5.90958,36.41185,49.12209,,,,,,,,,,,,,,13.84747657,14.30827437
1220,8.08846,9.29434,56.01396,17.71933,27.43546,19.64692,20.82459,176.10628,14.33876,5.92467,34.49004,49.02645,,,,,,,,,,,,,,13.81331793,14.17416158
1230,8.20296,9.28181,55.06284,20.43417,25.60241,20.02733,20.81789,175.96553,14.32822,5.91094,37.24567,49.71508,,,,,,,,,,,,,,13.84036974,14.11272187
